,id,station_name,station_line,area,rent_price,lease_price,pos_x,pos_y,지하철역명,rent,lease
159,8c323c2c-2c3e-45b3-905c-e1b743466566,둔촌동,5호선,,3,5,37.527788,127.136248,둔촌동,2.946,5.171
160,8c93484a-11e2-40fb-b5ea-d07fc45dded4,노원,4호선,,3,4,37.655128,127.061368,노원,2.133,3.858
161,8d19d5bf-8a45-40e7-b260-8a35e9a13618,노원,7호선,,3,4,37.655128,127.061368,노원,2.133,3.858
162,8de407b2-a1eb-4a7c-ab96-9c84cc8e9a55,일원,3호선,,4,6,37.483681,127.08439,일원,3.878,0.0
163,8e1c1580-659d-4645-afdd-c75d87493fdc,돌곶이,6호선,,3,5,37.610537,127.056431,돌곶이,3.157,4.559
164,8ef73ed3-fe2a-4e04-8dcc-bb3967257918,노량진,1호선,,5,5,37.514219,126.942454,노량진,4.861,5.074
165,8fad972e-76b2-4731-beb4-f2c220e88bbe,공덕,5호선,,3,7,37.544018,126.951592,공덕,3.473,6.652
166,900a6127-6b36-4c2c-9462-c258eb7b8c55,여의나루,5호선,,0,0,37.527098,126.932901,여의나루,1.19,0.0
167,9049780a-945d-4d4a-b0b0-94461185cf3e,마천,5호선,,3,4,37.49499,127.152781,마천,2.086,3.29
168,910ae88b-91c2-4d0d-96e5-94dccb400054,이수,4호선,,4,6,37.486263,126.981989,이수,4.25,5.705
169,92a6c07f-21dd-48e8-a5f4-0c94770d0277,당고개,4호선,,3,4,37.670272,127.079066,당고개,1.047,2.287
170,9338ea20-20f3-4405-93d9-b917c167dbf0,방화,5호선,,3,4,37.577446,126.812741,방화,2.271,4.262
171,940692ff-6eb2-4435-a129-ae212373ce47,한강진,6호선,,8,9,37.539631,127.001725,한강진,7.722,0.0
172,944a67a4-e930-4762-83a0-ca409a8971fb,마장,5호선,,3,4,37.5661,127.042973,마장,2.415,3.554
173,94b1f4fb-b7b2-48a8-882e-c0c940f7ecd9,신도림,2호선,,4,5,37.508725,126.891295,신도림,3.477,5.151
174,95fe8fe8-5790-4b19-8816-2e3300d1efa1,버티고개,6호선,,3,3,37.548013,127.007055,버티고개,2.258,2.901
175,96d210c4-5ee3-4675-a140-82b72f7e190a,응암,6호선,,3,4,37.598605,126.915577,응암,2.832,4.31
176,96f3280f-b96f-4d94-b59f-983bafcb225c,여의도,5호선,,3,6,37.521624,126.924191,,,
177,98bb110a-04d0-43cf-8ba4-3b93567116e6,오금,5호선,,4,6,37.502162,127.128111,오금,3.653,5.711
178,991a13a8-63f1-4a64-ba8c-6892d16be115,굽은다리,5호선,,4,6,37.545477,127.142853,굽은다리,4.136,5.82
179,9a572132-9157-4b31-bf3c-b775035e826b,오목교,5호선,,3,4,37.524496,126.875181,오목교,2.119,4.028
180,9b191c09-42f2-49d9-8088-c9d35bc75cfd,마곡,5호선,,3,4,37.560183,126.825448,마곡,2.279,4.139
181,9bcdfda1-3d3c-4881-91c5-ef1ccc4ff6b4,이수,7호선,,4,6,37.486263,126.981989,이수,4.25,5.705
182,9bdb4999-228c-4ffa-af9c-672215798321,대방,1호선,,4,9,37.513342,126.926382,대방,3.964,9.258
183,9d7e5068-9b38-44a6-9b9c-c5fb5d04521a,사당,2호선,,4,7,37.47653,126.981685,사당,4.047,6.763
184,9fb332c1-b2c8-48e8-9055-769782ca3a65,명일,5호선,,3,5,37.55137,127.143999,명일,3.33,5.419
185,a06941da-70ca-4ef8-a4bd-941854cd224d,동대문역사문화공원,5호선,,4,9,37.565138,127.007896,동대문역사문화공원,3.803,8.75
186,a1464174-87f1-4f30-90bc-ca4e966e9c6e,동묘앞,6호선,,3,8,37.572627,127.016429,동묘앞,3.289,7.91
187,a1e5c2a8-556f-4027-b265-8d42071abb9d,시청,2호선,,9,10,37.564718,126.977108,시청,9.5,0.0
188,a391ad00-4fb3-45a8-9d68-35023515e0e1,역삼,2호선,,5,9,37.500622,127.036456,역삼,4.987,8.717
189,a5ba18f6-4613-40a2-9cf7-0b62874d2683,서울,4호선,,3,5,37.554648,126.972559,서울,3.246,4.604
190,a5e8cc40-2e71-4a0d-b732-8e6233d06fd8,강남,2호선,,5,10,37.497175,127.027926,강남,4.562,10.26
191,a64a10a5-f0f7-4c05-926e-5d5e7a326c11,신용산,4호선,,4,8,37.52917,126.967894,신용산,3.718,8.078
192,a6600b16-5688-497e-be22-08692f925548,개롱,5호선,,3,6,37.498079,127.13482,,,
193,a6a33e13-be43-4b7c-904e-5ff68c6f5bde,옥수,3호선,,3,4,37.540685,127.017965,옥수,1.816,3.914
194,a6a56c64-cc3b-4632-8b6e-ad6b35ecd85c,이촌,4호선,,0,0,37.522272,126.974345,이촌,0.715,2.405
195,a7c85b5b-5d0b-42b1-b960-76cb59856c6e,월계,1호선,,3,4,37.633212,127.058831,월계,1.958,4.079
196,a7d71763-2f6f-4a31-8e36-5f7880004cc5,잠실,8호선,,5,10,37.51395,127.102234,잠실,4.601,10.212
197,a81dc61c-cf34-4753-997b-2fa49ed2c4b0,먹골,7호선,,4,5,37.610637,127.077725,먹골,3.583,4.551
198,a8db6e72-1523-4a32-8e6d-f34d3957a4e8,청량리,1호선,,3,5,37.580178,127.046835,청량리,3.39,5.365
199,a983da89-8827-4d90-800b-bd84babea61b,목동,5호선,,3,5,37.526065,126.864931,목동,2.998,4.478
200,ac083384-001c-41a7-9c9d-3f8725b782fe,마포,5호선,,3,7,37.539574,126.945932,마포,3.347,6.596
201,ac1c1478-345a-4f3b-9e3b-721ef8f36ab2,압구정,3호선,,5,8,37.527072,127.028461,압구정,4.89,7.772
202,ac23657e-475a-4979-bfa7-0465f93d62da,사가정,7호선,,3,6,37.580894,127.088478,사가정,3.109,6.005
